"Table 210-06101 : Statistics on labour force, employment, unemployment and underemployment",,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force participation rate (2),Labour force participation rate (2),Labour force participation rate (2),Unemployed persons (3),Unemployed persons (3),Unemployed persons (3),Unemployment rate (4),Unemployment rate (4),Unemployment rate (4),Unemployment rate (seasonally adjusted) (5),Employed persons (6),Employed persons (6),Employed persons (6),Underemployed persons (7),Underemployed persons (7),Underemployed persons (7),Underemployment rate (8),Underemployment rate (8),Underemployment rate (8)
,,No. ('000),No. ('000),No. ('000),Year-on-year % change,Year-on-year % change,Year-on-year % change,(%),(%),(%),No. ('000),No. ('000),No. ('000),(%),(%),(%),(%),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),(%),(%),(%)
Sex,,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes
Year / Moving 3-month period,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,1990.1,1997.6,3987.8,-1.2,0.8,-0.2,67.6,55.1,60.7,70.4,45.9,116.3,3.5,2.3,2.9,N.A.,1919.7,1951.7,3871.4,30.7,11.3,42.0,1.5,0.6,1.1
2020,,1954.6,1963.8,3918.5,-1.8,-1.7,-1.7,66.3,54.3,59.7,134.5,93.1,227.6,6.9,4.7,5.8,N.A.,1820.1,1870.8,3690.9,75.1,54.8,129.9,3.8,2.8,3.3
2022,,1886.0,1890.3,3776.3,-1.9,-2.9,-2.4,64.7,52.9,58.2,96.5,66.6,163.1,5.1,3.5,4.3,N.A.,1789.5,1823.7,3613.2,52.8,35.3,88.1,2.8,1.9,2.3
11/2018 - 1/2019,,2002.5,1984.4,3986.9,-0.2,0.9,0.3,68.0,55.0,60.9,61.3,40.7,102.0,3.1,2.1,2.6,2.8,1941.2,1943.7,3884.9,31.3,10.9,42.2,1.6,0.5,1.1
12/2018 - 2/2019,,1999.3,1984.3,3983.7,-0.6,0.6,[§3],67.9,55.0,60.8,62.3,40.3,102.6,3.1,2.0,2.6,2.8,1937.0,1944.0,3881.0,29.5,11.0,40.4,1.5,0.6,1.0
1/2019 - 3/2019,,1994.7,1990.8,3985.4,-0.8,0.7,-0.1,67.8,55.1,60.8,68.6,41.5,110.2,3.4,2.1,2.8,2.8,1926.0,1949.2,3875.3,28.0,11.1,39.0,1.4,0.6,1.0
2/2019 - 4/2019,,1988.7,2000.9,3989.6,-0.9,1.2,0.2,67.5,55.3,60.8,67.2,44.7,111.9,3.4,2.2,2.8,2.8,1921.5,1956.1,3877.7,27.9,10.1,38.0,1.4,0.5,1.0
3/2019 - 5/2019,,1989.5,2003.3,3992.8,-0.9,1.7,0.4,67.5,55.3,60.8,70.1,43.9,113.9,3.5,2.2,2.9,2.8,1919.5,1959.4,3878.9,29.0,10.1,39.2,1.5,0.5,1.0
4/2019 - 6/2019,,1990.1,2003.8,3993.9,-0.7,1.2,0.3,67.6,55.3,60.8,69.2,45.0,114.2,3.5,2.2,2.9,2.8,1920.9,1958.8,3879.7,30.5,10.5,41.0,1.5,0.5,1.0
5/2019 - 7/2019,,1986.8,2006.6,3993.4,-1.2,1.3,0.1,67.5,55.3,60.8,71.7,46.7,118.4,3.6,2.3,3.0,2.8,1915.1,1959.9,3875.0,29.9,10.6,40.4,1.5,0.5,1.0
6/2019 - 8/2019,,1986.0,2007.4,3993.3,-1.5,0.9,-0.3,67.4,55.3,60.7,71.2,49.1,120.2,3.6,2.4,3.0,2.9,1914.8,1958.3,3873.1,30.7,10.1,40.8,1.5,0.5,1.0
7/2019 - 9/2019,,1983.4,2005.7,3989.1,-1.9,1.4,-0.3,67.2,55.2,60.6,69.5,50.4,119.9,3.5,2.5,3.0,2.9,1913.9,1955.3,3869.2,31.4,9.9,41.3,1.6,0.5,1.0
8/2019 - 10/2019,,1985.5,2002.2,3987.7,-1.7,1.2,-0.2,67.2,55.1,60.5,73.5,51.5,125.0,3.7,2.6,3.1,3.0,1912.0,1950.6,3862.7,34.0,11.6,45.7,1.7,0.6,1.1
9/2019 - 11/2019,,1988.4,1991.8,3980.2,-0.9,0.6,-0.2,67.2,54.8,60.4,73.9,51.0,124.9,3.7,2.6,3.1,3.1,1914.5,1940.8,3855.3,34.1,12.5,46.6,1.7,0.6,1.2
10/2019 - 12/2019,,1986.2,1985.6,3971.8,-1.0,0.1,-0.5,67.1,54.6,60.2,75.3,48.7,124.1,3.8,2.5,3.1,3.3,1910.9,1936.8,3847.7,33.5,13.8,47.3,1.7,0.7,1.2
11/2019 - 1/2020,,1980.7,1978.4,3959.0,-1.1,-0.3,-0.7,67.0,54.5,60.1,73.2,49.4,122.6,3.7,2.5,3.1,3.4,1907.5,1928.9,3836.4,32.6,14.9,47.6,1.6,0.8,1.2
12/2019 - 2/2020,,1962.4,1978.0,3940.4,-1.8,-0.3,-1.1,66.5,54.5,59.9,84.3,54.9,139.2,4.3,2.8,3.5,3.8,1878.1,1923.1,3801.2,39.0,22.0,61.0,2.0,1.1,1.5
1/2020 - 3/2020,,1947.4,1973.4,3920.9,-2.4,-0.9,-1.6,66.0,54.4,59.6,97.4,68.7,166.1,5.0,3.5,4.2,4.3,1850.0,1904.8,3754.8,50.4,34.8,85.2,2.6,1.8,2.2
2/2020 - 4/2020,,1932.6,1966.2,3898.8,-2.8,-1.7,-2.3,65.6,54.3,59.3,116.1,87.1,203.2,6.0,4.4,5.2,5.2,1816.5,1879.1,3695.6,68.5,49.9,118.4,3.5,2.5,3.0
3/2020 - 5/2020,,1932.5,1960.0,3892.5,-2.9,-2.2,-2.5,65.6,54.2,59.3,134.1,98.1,232.2,6.9,5.0,6.0,5.9,1798.4,1861.9,3660.3,78.1,59.4,137.5,4.0,3.0,3.5
4/2020 - 6/2020,,1937.1,1967.8,3904.9,-2.7,-1.8,-2.2,65.8,54.4,59.6,141.2,101.8,242.9,7.3,5.2,6.2,6.1,1795.9,1866.1,3662.0,82.3,63.3,145.6,4.3,3.2,3.7
5/2020 - 7/2020,,1952.4,1967.1,3919.5,-1.7,-2.0,-1.9,66.4,54.5,59.9,147.8,96.3,244.0,7.6,4.9,6.2,6.0,1804.7,1870.8,3675.5,77.2,59.3,136.5,4.0,3.0,3.5
6/2020 - 8/2020,,1949.5,1968.1,3917.6,-1.8,-2.0,-1.9,66.4,54.6,59.9,148.5,101.2,249.7,7.6,5.1,6.4,6.1,1801.0,1866.9,3668.0,83.5,69.2,152.7,4.3,3.5,3.9
7/2020 - 9/2020,,1950.1,1954.8,3904.9,-1.7,-2.5,-2.1,66.5,54.3,59.8,152.2,103.3,255.5,7.8,5.3,6.5,6.2,1798.0,1851.5,3649.4,86.2,66.5,152.7,4.4,3.4,3.9
8/2020 - 10/2020,,1944.6,1952.3,3896.9,-2.1,-2.5,-2.3,66.4,54.3,59.7,150.9,103.0,253.9,7.8,5.3,6.5,6.3,1793.7,1849.3,3643.0,87.3,64.3,151.6,4.5,3.3,3.9
9/2020 - 11/2020,,1951.1,1953.0,3904.1,-1.9,-1.9,-1.9,66.6,54.2,59.8,146.8,94.6,241.4,7.5,4.8,6.2,6.2,1804.3,1858.4,3662.7,80.0,53.4,133.4,4.1,2.7,3.4
10/2020 - 12/2020,,1953.5,1949.3,3902.8,-1.6,-1.8,-1.7,66.6,54.1,59.7,148.0,97.9,245.9,7.6,5.0,6.3,6.6,1805.5,1851.4,3656.9,79.5,54.5,134.0,4.1,2.8,3.4
11/2021 - 1/2022,,1906.5,1931.1,3837.6,-1.9,-1.0,-1.4,65.1,53.7,58.8,80.2,57.3,137.5,4.2,3.0,3.6,3.9,1826.3,1873.8,3700.1,42.4,27.9,70.4,2.2,1.4,1.8
12/2021 - 2/2022,,1901.1,1925.0,3826.1,-1.6,-1.3,-1.4,65.0,53.6,58.7,93.8,67.9,161.6,4.9,3.5,4.2,4.5,1807.4,1857.1,3664.5,52.5,36.7,89.2,2.8,1.9,2.3
1/2022 - 3/2022,,1885.8,1913.2,3799.0,-2.4,-2.2,-2.3,64.7,53.5,58.5,112.3,76.1,188.5,6.0,4.0,5.0,5.0,1773.5,1837.0,3610.5,70.1,46.9,117.0,3.7,2.5,3.1
2/2022 - 4/2022,,1873.6,1891.6,3765.3,-3.2,-3.2,-3.2,64.5,53.1,58.2,120.3,85.7,206.1,6.4,4.5,5.5,5.4,1753.3,1805.9,3559.2,80.9,61.1,142.0,4.3,3.2,3.8
3/2022 - 5/2022,,1866.5,1878.6,3745.2,-3.4,-4.2,-3.8,64.5,52.9,58.1,112.3,79.0,191.4,6.0,4.2,5.1,5.1,1754.2,1799.6,3553.8,76.5,53.9,130.4,4.1,2.9,3.5
4/2022 - 6/2022,,1876.5,1873.7,3750.2,-2.5,-4.5,-3.5,64.9,52.9,58.3,102.6,76.0,178.6,5.5,4.1,4.8,4.7,1773.9,1797.8,3571.6,64.5,47.1,111.6,3.4,2.5,3.0
5/2022 - 7/2022,,1874.8,1886.5,3761.3,-2.4,-3.9,-3.2,64.9,53.3,58.5,98.4,69.7,168.2,5.3,3.7,4.5,4.3,1776.4,1816.8,3593.1,50.5,33.9,84.3,2.7,1.8,2.2
6/2022 - 8/2022,,1880.9,1890.3,3771.2,-2.2,-3.3,-2.8,65.1,53.4,58.6,96.4,65.4,161.9,5.1,3.5,4.3,4.1,1784.5,1824.8,3609.3,45.5,30.9,76.4,2.4,1.6,2.0
